Id,dataset,K,nclim,prio,alpha,rel_dom,rel_irr,rel_eco,crel_dom,crel_irr,crel_eco
1,Princeton,120,1,1,0.5,53.3333333333333,50.6666666666667,79.3333333333333,70.6937818322359,57.3673974032474,85.567628608832
2,Princeton,120,1,1,0.9,50.6666666666667,50.6666666666667,71,71.8223317489838,52.0751678417898,95.5954164769601
3,Princeton,120,1,2,0.5,53.5,50.6666666666667,71.6666666666667,72.128334500254,57.3673974032474,70.0008929907487
4,Princeton,120,1,2,0.9,50.8333333333333,50.6666666666667,69.3333333333333,74.6604359594126,52.0751678417898,64.7983471986653
5,Princeton,120,1,3,0.5,53.5,51,69.3333333333333,72.128334500254,58.6875928149969,64.4444381908616
6,Princeton,120,1,3,0.9,50.8333333333333,50.6666666666667,69.3333333333333,74.6604359594126,53.6513299453942,58.1645766158946
7,Princeton,120,2,1,0.5,52.3333333333333,49.8333333333333,79,70.2224017178529,56.5749127973157,85.3216179220647
8,Princeton,120,2,1,0.9,50,49.8333333333333,70.1666666666667,71.3290875632854,51.3869166455721,95.4985683715686
9,Princeton,120,2,2,0.5,53,49.8333333333333,70.8333333333333,71.6797117576783,56.5749127973157,69.5079356437546
10,Princeton,120,2,2,0.9,50,49.8333333333333,69,74.1969546225403,51.3869166455721,64.3785340260129
11,Princeton,120,2,3,0.5,53,50.1666666666667,68.8333333333333,71.6797117576783,57.8857290289152,63.9023702176513
12,Princeton,120,2,3,0.9,50,50,68.8333333333333,74.1969546225403,52.9747385102086,57.5883836352471
13,Princeton,120,3,1,0.5,51.8333333333333,49.3333333333333,78.8333333333333,69.7802626003627,55.7433727964778,85.0581426931006
14,Princeton,120,3,1,0.9,49.8333333333333,49.3333333333333,69.8333333333333,70.8611482924709,50.6498348025664,95.4590640547376
15,Princeton,120,3,2,0.5,52.5,49.3333333333333,70.5,71.2464142590393,55.7433727964778,69.1485175148465
16,Princeton,120,3,2,0.9,49.8333333333333,49.3333333333333,69,73.782754676634,50.6498348025664,63.7558891373575
17,Princeton,120,3,3,0.5,52.5,50,68.5,71.2464142590393,57.0712381396069,63.3793351320613
18,Princeton,120,3,3,0.9,49.8333333333333,49.3333333333333,68.5,73.782754676634,52.2166566204685,56.9485115101175
19,Princeton,120,4,1,0.5,51.3333333333333,49,78.5,69.3243606158996,55.0127819840506,84.6608987440045
20,Princeton,120,4,1,0.9,49.1666666666667,49,69.5,70.3817250023422,49.98582666997,95.3748381748337
21,Princeton,120,4,2,0.5,51.8333333333333,49,70.3333333333333,70.7863572225209,55.0127819840506,68.7963612075389
22,Princeton,120,4,2,0.9,49.3333333333333,49,68.5,73.3526563662982,49.98582666997,63.1364239895465
23,Princeton,120,4,3,0.5,51.8333333333333,49.5,68.3333333333333,70.7863572225209,56.3775386599393,62.7726733246957
24,Princeton,120,4,3,0.9,49.3333333333333,49,68.3333333333333,73.3526563662982,51.4758324238221,56.5599186216567
25,Princeton,120,5,1,0.5,50.8333333333333,48.5,78.3333333333333,68.8586716843316,54.2572311350057,84.5848729019782
26,Princeton,120,5,1,0.9,48.5,48.5,69,69.9040167352919,49.3410549055091,95.283204017259
27,Princeton,120,5,2,0.5,51.1666666666667,48.5,69.8333333333333,70.3610971619782,54.2572311350057,68.2816302830034
28,Princeton,120,5,2,0.9,48.5,48.5,68,72.9048171723468,49.3410549055091,62.7206720951666
29,Princeton,120,5,3,0.5,51.1666666666667,48.8333333333333,68,70.3610971619782,55.6050433056461,62.23871743738
30,Princeton,120,5,3,0.9,48.5,48.5,68,72.9048171723468,50.8516516592798,55.947914936
31,Princeton,120,6,1,0.5,50,48.1666666666667,77.8333333333333,68.2733434815212,53.8413761016169,84.4422179128071
32,Princeton,120,6,1,0.9,48.3333333333333,48.1666666666667,68.8333333333333,69.4483765174389,48.6673934074417,95.2536666684009
33,Princeton,120,6,2,0.5,50.5,48.1666666666667,69.3333333333333,69.8397350280696,53.8413761016169,67.444861438466
34,Princeton,120,6,2,0.9,48.3333333333333,48.1666666666667,67.8333333333333,72.4754059817654,48.6673934074417,62.406516173453
35,Princeton,120,6,3,0.5,50.5,48.6666666666667,67.6666666666667,69.8397350280696,55.0402551237758,61.9852251203823
36,Princeton,120,6,3,0.9,48.3333333333333,48.3333333333333,67.6666666666667,72.4754059817654,50.2448308146477,55.2229435204117
37,Princeton,120,7,1,0.5,59.3333333333333,56.8333333333333,82.6666666666667,75.7906227869579,62.950044403133,87.947957276382
38,Princeton,120,7,1,0.9,57.5,56.8333333333333,75.6666666666667,76.5186067384879,59.0175916835393,96.3259776696317
39,Princeton,120,7,2,0.5,60.8333333333333,56.8333333333333,75.6666666666667,76.9499800100693,62.950044403133,75.3674450502087
40,Princeton,120,7,2,0.9,57.6666666666667,56.8333333333333,74.3333333333333,78.7424232484341,59.0175916835393,72.1947174899076
41,Princeton,120,7,3,0.5,60.8333333333333,57.8333333333333,73.8333333333333,76.9499800100693,64.2651965916793,69.923642941069
42,Princeton,120,7,3,0.9,57.6666666666667,57,73.8333333333333,78.7424232484341,60.680574308008,65.3111427999301
43,Princeton,120,8,1,0.5,59,56.5,82.5,75.2095147710481,62.2434046328163,87.8233790139952
44,Princeton,120,8,1,0.9,57,56.5,75.1666666666667,76.0296778862376,58.1264286796591,96.2402921427086
45,Princeton,120,8,2,0.5,59.8333333333333,56.5,75.5,76.4184495428096,62.2434046328163,74.704886824009
46,Princeton,120,8,2,0.9,57.3333333333333,56.5,74,78.2880283117932,58.1264286796591,71.7342947043714
