Dataset,nVar,Year,Month,Prec,Tavg,Tmin,Tmax
Princeton,1,2000,1,17.4787538655455,26.805,22.311,31.993
Princeton,1,2000,2,0.386192984821341,27.451,22.7,32.889
Princeton,1,2000,3,42.6393573126188,27.742,22.936,32.869
Princeton,1,2000,4,111.381363073076,25.976,21.878,30.342
Princeton,1,2000,5,102.297357708556,25.295,21.817,29.309
Princeton,1,2000,6,19.7856729456042,24.266,20.426,28.958
Princeton,1,2000,7,42.4811373993629,23.838,20.045,28.154
Princeton,1,2000,8,37.5108497794965,23.61,19.915,27.786
Princeton,1,2000,9,45.6964570158736,23.667,19.355,28.492
Princeton,1,2000,10,15.130006532557,24.882,20.235,29.899
Princeton,1,2000,11,14.309809051196,26.424,21.504,31.639
Princeton,1,2000,12,55.8961855618013,26.685,22.494,31.406
Princeton,1,2001,1,20.2468358986894,26.805,22.311,31.993
Princeton,1,2001,2,0.447353744383122,27.451,22.7,32.889
Princeton,1,2001,3,49.392083496064,27.742,22.936,32.869
Princeton,1,2001,4,129.020649736264,25.976,21.878,30.342
Princeton,1,2001,5,118.498025106782,25.295,21.817,29.309
Princeton,1,2001,6,22.9190980293197,24.266,20.426,28.958
Princeton,1,2001,7,49.2088065505655,23.838,20.045,28.154
Princeton,1,2001,8,43.451382504044,23.61,19.915,27.786
Princeton,1,2001,9,52.933331144144,23.667,19.355,28.492
Princeton,1,2001,10,17.5261212422377,24.882,20.235,29.899
Princeton,1,2001,11,16.576030409826,26.424,21.504,31.639
Princeton,1,2001,12,64.7483742341242,26.685,22.494,31.406
Princeton,1,2002,1,2.10257276702758,27.043,22.147,32.636
Princeton,1,2002,2,72.1837734449211,27.579,22.761,32.75
Princeton,1,2002,3,18.6067895862196,27.4,22.311,32.888
Princeton,1,2002,4,95.3346186069192,26.704,22.294,31.422
Princeton,1,2002,5,27.2754210241932,25.924,22.236,30.285
Princeton,1,2002,6,34.969270308355,24.333,20.451,28.971
Princeton,1,2002,7,112.982333429483,23.524,19.97,27.676
Princeton,1,2002,8,28.0330716081986,23.395,19.724,27.595
Princeton,1,2002,9,212.188361727845,23.805,19.917,28.025
Princeton,1,2002,10,108.251637100084,24.891,20.881,29.172
Princeton,1,2002,11,212.927533029313,25.662,22.004,29.528
Princeton,1,2002,12,104.555780592741,26.614,22.548,30.867
Princeton,1,2003,1,15.2979766303577,26.213,21.727,31.631
Princeton,1,2003,2,3.10122631776356,26.651,22.038,32.216
Princeton,1,2003,3,114.315689177842,27.333,23.015,32.134
Princeton,1,2003,4,260.118347863926,25.795,21.797,30.304
Princeton,1,2003,5,116.199444458024,24.361,20.886,28.393
Princeton,1,2003,6,68.3294552780403,23.342,19.462,27.655
Princeton,1,2003,7,31.8081497835125,23.105,19.176,27.672
Princeton,1,2003,8,47.6787880190455,22.776,18.677,27.246
Princeton,1,2003,9,19.0306377180383,23.395,18.785,28.396
Princeton,1,2003,10,40.3377936921764,25.01,20.234,30.175
Princeton,1,2003,11,104.425973956887,25.882,22.411,29.443
Princeton,1,2003,12,58.140222967536,25.48,21.339,29.908
Princeton,1,2004,1,0.249610448581636,26.723,22.06,32.19
Princeton,1,2004,2,38.290622053354,26.609,21.797,32.213
Princeton,1,2004,3,7.05896611284042,27.771,22.606,33.323
Princeton,1,2004,4,148.836175468828,26.295,21.938,30.953
Princeton,1,2004,5,146.293778165445,25.124,21.594,29.303
Princeton,1,2004,6,68.9402808778351,24.004,20.303,28.261
Princeton,1,2004,7,38.0035430245138,23.396,19.844,27.529
Princeton,1,2004,8,124.291448169093,23.167,19.398,27.483
Princeton,1,2004,9,174.620321453961,23.505,19.181,28.263
Princeton,1,2004,10,173.76226236407,24.682,20.488,29.14
Princeton,1,2004,11,221.188565394243,25.762,21.642,29.89
Princeton,1,2004,12,8.91767040805469,24.138,20.074,28.729
