"Mwache Weap verificaiton run (Oct 17, 2014) with Mwache_4_14_test all units are in cubic meters per month // Single user system",,,,,,,,
Year,Month,Date,Inflow,Nevap,Rel_Flood, Demand,Supply,Storage
2018,6,18-Jun,13103200,138491,1597300,6367410,6367410,65000000
2018,7,18-Jul,24017900,122198,17316000,6579657,6579657,65000000
2018,8,18-Aug,22921600,200948,16141000,6579657,6579657,65000000
2018,9,18-Sep,28842800,282414,22193000,6367410,6367410,65000000
2018,10,18-Oct,23107500,209095,16319000,6579657,6579657,65000000
2018,11,18-Nov,17061300,122198,10572000,6367410,6367410,65000000
2018,12,18-Dec,12193100,238966,5374500,6579657,6579657,65000000
2019,1,19-Jan,4422960,358448,0,6579657,6579657,62484855
2019,2,19-Feb,4604210,456207,0,5942916,5942916,60689943
2019,3,19-Mar,5724010,366595,0,6579657,6579657,59467702
2019,4,19-Apr,20391300,119483,8372100,6367410,6367410,65000000
2019,5,19-May,11015700,-62457,4498500,6579657,6579657,65000000
2019,6,19-Jun,6455580,138491,0,6367410,6367410,64949679
2019,7,19-Jul,4733210,122198,0,6579657,6579657,62981034
2019,8,19-Aug,4757940,200948,0,6579657,6579657,60958369
2019,9,19-Sep,3850700,282414,0,6367410,6367410,58159246
2019,10,19-Oct,3621340,209095,0,6579657,6579657,54991835
2019,11,19-Nov,2939600,122198,0,6367410,6367410,51441827
2019,12,19-Dec,3253000,238966,0,6579657,6579657,47876205
2020,1,20-Jan,5815110,264000,0,6579657,6579657,46847659
2020,2,20-Feb,3273110,336000,0,5942916,5942916,43841854
2020,3,20-Mar,1207530,270000,0,6579657,6579657,38199728
2020,4,20-Apr,9293750,88000,0,6367410,6367410,41038068
2020,5,20-May,11893000,-46000,0,6579657,6579657,46397411
2020,6,20-Jun,7547620,102000,0,6367410,6367410,47475621
2020,7,20-Jul,4256450,90000,0,6579657,6579657,45062414
2020,8,20-Aug,2580350,148000,0,6579657,6579657,40915107
2020,9,20-Sep,2367990,208000,0,6367410,6367410,36707687
2020,10,20-Oct,1855180,154000,0,6579657,6579657,31829211
2020,11,20-Nov,2200570,90000,0,6367410,6367410,27572371
2020,12,20-Dec,2461020,132000,0,6579657,6579657,23321734
2021,1,21-Jan,43824600,198000,0,6579657,6579657,60368678
2021,2,21-Feb,3544950,456207,0,5942916,5942916,57514506
2021,3,21-Mar,4881690,366595,0,6579657,6579657,55449945
2021,4,21-Apr,12698300,119483,0,6367410,6367410,61661353
2021,5,21-May,9582210,-62457,0,6579657,6579657,64726363
2021,6,21-Jun,6691690,138491,0,6367410,6367410,64912152
2021,7,21-Jul,3527930,122198,0,6579657,6579657,61738227
2021,8,21-Aug,2670510,200948,0,6579657,6579657,57628132
2021,9,21-Sep,2702450,282414,0,6367410,6367410,53680759
2021,10,21-Oct,1947440,209095,0,6579657,6579657,48839448
2021,11,21-Nov,8476070,90000,0,6367410,6367410,50858108
2021,12,21-Dec,3478100,238966,0,6579657,6579657,47517586
2022,1,22-Jan,15474100,264000,0,6579657,6579657,56148030
2022,2,22-Feb,1693430,456207,0,5942916,5942916,51442338
2022,3,22-Mar,7211230,366595,0,6579657,6579657,51707317
2022,4,22-Apr,15402500,119483,0,6367410,6367410,60622925
2022,5,22-May,12048500,-62457,1154200,6579657,6579657,65000000
2022,6,22-Jun,5403390,138491,0,6367410,6367410,63897489
2022,7,22-Jul,4046110,122198,0,6579657,6579657,61241744
2022,8,22-Aug,3649730,200948,0,6579657,6579657,58110869
2022,9,22-Sep,4616200,282414,0,6367410,6367410,56077246
2022,10,22-Oct,3498330,209095,0,6579657,6579657,52786825
2022,11,22-Nov,30215800,122198,11513000,6367410,6367410,65000000
2022,12,22-Dec,40596300,238966,33778000,6579657,6579657,65000000
2023,1,23-Jan,2112900,358448,0,6579657,6579657,60174795
2023,2,23-Feb,4311500,456207,0,5942916,5942916,58087173
2023,3,23-Mar,32568600,366595,18710000,6579657,6579657,65000000
2023,4,23-Apr,13411300,119483,6924400,6367410,6367410,65000000
2023,5,23-May,21972000,-62457,15455000,6579657,6579657,65000000
2023,6,23-Jun,16521200,138491,10015000,6367410,6367410,65000000
2023,7,23-Jul,7213050,122198,511200,6579657,6579657,65000000
2023,8,23-Aug,6183850,200948,0,6579657,6579657,64403245
2023,9,23-Sep,5696590,282414,0,6367410,6367410,63450012
2023,10,23-Oct,3683180,209095,0,6579657,6579657,60344441
2023,11,23-Nov,3415370,122198,0,6367410,6367410,57270203
2023,12,23-Dec,6409230,238966,0,6579657,6579657,56860811
